geography,geo_level,province,census_year,religion_label_source,religion_label_normalised,count
West Ambae,area_council,Penama,2020,Customary beliefs,customary_beliefs,0
West Ambae,area_council,Penama,2020,Apostolic,apostolic,992
West Ambae,area_council,Penama,2020,Latter Day Saints (Mormon),latter_day_saints,47
West Ambae,area_council,Penama,2020,Other churches,other,166
West Ambae,area_council,Penama,2020,No Religion/Faith,no_religion,0
West Ambae,area_council,Penama,2020,Refuse to answer,refuse_to_answer,2
West Ambae,area_council,Penama,2020,Not Stated,not_stated,0
North Ambae,area_council,Penama,2020,Total,total,2917
North Ambae,area_council,Penama,2020,Presbyterian,presbyterian,35
North Ambae,area_council,Penama,2020,Seventh Day Adventist (SDA),seventh_day_adventist,479
North Ambae,area_council,Penama,2020,Catholic,catholic,575
North Ambae,area_council,Penama,2020,Anglican,anglican,1269
North Ambae,area_council,Penama,2020,Churches of Christ,church_of_christ,377
North Ambae,area_council,Penama,2020,Assemblies of God (AOG),assemblies_of_god,18
North Ambae,area_council,Penama,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,80
North Ambae,area_council,Penama,2020,Customary beliefs,customary_beliefs,0
North Ambae,area_council,Penama,2020,Apostolic,apostolic,2
North Ambae,area_council,Penama,2020,Latter Day Saints (Mormon),latter_day_saints,3
North Ambae,area_council,Penama,2020,Other churches,other,77
North Ambae,area_council,Penama,2020,No Religion/Faith,no_religion,0
North Ambae,area_council,Penama,2020,Refuse to answer,refuse_to_answer,1
North Ambae,area_council,Penama,2020,Not Stated,not_stated,0
East Ambae,area_council,Penama,2020,Total,total,1880
East Ambae,area_council,Penama,2020,Presbyterian,presbyterian,17
East Ambae,area_council,Penama,2020,Seventh Day Adventist (SDA),seventh_day_adventist,110
East Ambae,area_council,Penama,2020,Catholic,catholic,21
East Ambae,area_council,Penama,2020,Anglican,anglican,1336
East Ambae,area_council,Penama,2020,Churches of Christ,church_of_christ,354
East Ambae,area_council,Penama,2020,Assemblies of God (AOG),assemblies_of_god,5
East Ambae,area_council,Penama,2020,Neil Thomas Ministry / Inner Life Ministry,neil_thomas_ministry,13
East Ambae,area_council,Penama,2020,Customary beliefs,customary_beliefs,0
East Ambae,area_council,Penama,2020,Apostolic,apostolic,2
East Ambae,area_council,Penama,2020,Latter Day Saints (Mormon),latter_day_saints,5
East Ambae,area_council,Penama,2020,Other churches,other,17
East Ambae,area_council,Penama,2020,No Religion/Faith,no_religion,0
